session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
20MAY04XA,1616+063,162,1.0106397771203248e+01,4.4565663675645677e+00,1.5614199079561406e+01,3.4565663675645677e+00,8.0497082639269522e+00,2.7976357126395818e-01,-3.5931418963623845e+00
20MAY04XA,1617+229,85,1.0106397771203248e+01,5.5575940135956124e+01,1.7744691492374582e+01,5.4575940135956124e+01,8.0497082639269522e+00,2.7976357126395818e-01,4.7526231872029172e+01
22MAY09XA,1636+473,20,1.1981812554125794e+01,-9.0470302520039823e+01,4.5860641798643506e+01,-9.1470302520039823e+01,5.4609783256794806e+00,3.8943244120781795e-01,-9.5931280845719300e+01
20MAY06XA,1639+230,22,1.1452581368343477e+01,1.5237797290136326e+01,2.5314948568656366e+01,1.4237797290136326e+01,9.2325738013260708e+00,1.2206749153850662e+00,6.0052234888102554e+00
17MAY01XA,1639-062,140,2.9980768003362140e+01,2.9887098089273856e+01,1.3561492614938119e+01,2.8887098089273856e+01,1.1866902903646863e+00,6.9614570068410556e-02,2.8700407798909168e+01
18MAY01XA,1639-062,94,3.8915678326779855e+01,6.0762284180195067e+01,2.2445951595044267e+01,5.9762284180195067e+01,1.4021809170205990e+00,5.5657027442395014e-02,5.9360103263174466e+01
20MAY04XA,1639-062,148,1.0106397771203248e+01,1.5849374316345163e+01,0.0000000000000000e+00,1.4849374316345163e+01,8.0497082639269522e+00,2.7976357126395818e-01,7.7996660524182104e+00
18MAY01XA,1657-261,35,3.8915678326779855e+01,3.7162395700374624e+01,9.9806100403383212e+01,3.6162395700374624e+01,1.4021809170205990e+00,5.5657027442395014e-02,3.5760214783354023e+01
20MAY04XA,1657-261,32,1.0106397771203248e+01,1.3344934162951591e+02,3.8690030299185845e-16,1.3244934162951591e+02,8.0497082639269522e+00,2.7976357126395818e-01,1.2539963336558895e+02
22MAY09XA,1657-261,22,1.1981812554125794e+01,-4.3829190608913945e+02,4.5034591304987350e+02,-4.3929190608913945e+02,5.4609783256794806e+00,3.8943244120781795e-01,-4.4375288441481894e+02
18MAY01XA,1705+018,129,3.8915678326779855e+01,-6.4420643116526549e+01,4.3097136253236897e+01,-6.5420643116526549e+01,1.4021809170205990e+00,5.5657027442395014e-02,-6.5822824033547150e+01
17MAY01XA,1741-038,74,2.9980768003362140e+01,6.3299163303969863e+01,5.3813879433878853e+00,6.2299163303969863e+01,1.1866902903646863e+00,6.9614570068410556e-02,6.2112473013605175e+01
18MAY01XA,1741-038,285,3.8915678326779855e+01,2.3104948475145520e+01,1.2030700900559074e+01,2.2104948475145520e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.1702767558124922e+01
20MAY04XA,1741-038,180,1.0106397771203248e+01,2.3599933773505587e+01,1.9170403124512536e+01,2.2599933773505587e+01,8.0497082639269522e+00,2.7976357126395818e-01,1.5550225509578635e+01
