galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
NGC6674,51.2,32.5,250.0,2.0,42.22,174.2,47.78,6.232267864316086e-11,9.971628582905738e-13,1.8500759659888222e-11
NGC6674,51.2,37.51,242.0,2.0,45.59,160.68,44.48,5.059797342229267e-11,8.363301392114491e-13,1.4145391267498064e-11
NGC6674,51.2,42.42,237.0,2.0,49.68,149.48,41.82,4.29116765461576e-11,7.242477054203815e-13,1.1356078943107267e-11
NGC6674,51.2,47.44,235.0,2.0,50.91,139.94,39.55,3.772597728911574e-11,6.421442942828211e-13,9.207510054543442e-12
NGC6674,51.2,52.45,236.0,2.0,48.66,131.98,37.61,3.4413430563373377e-11,5.832784841249725e-13,7.456149125916578e-12
NGC6674,51.2,57.47,242.0,2.0,50.7,125.25,35.93,3.3024708249002926e-11,5.458629462645112e-13,6.382280702902316e-12
NGC6674,51.2,62.48,246.0,2.0,51.01,119.5,34.46,3.1389084423818054e-11,5.103916166474481e-13,5.48431831040498e-12
NGC6674,51.2,67.4,242.0,4.0,48.35,114.62,33.18,2.8159198561872372e-11,9.3088259708669e-13,4.653082717659301e-12
NGC6674,51.2,72.41,242.0,5.0,44.77,110.24,32.01,2.6210882240991547e-11,1.0830943074789897e-12,3.9376429590568945e-12
NGC6789,3.52,0.1,13.9,3.84,2.8,7.62,0.0,6.261509665135457e-11,3.459596707067648e-11,1.1949466211625051e-11
NGC6789,3.52,0.3,29.9,3.92,7.72,17.26,0.0,9.657630308520522e-11,2.532301726381301e-11,2.2529055017601973e-11
NGC6789,3.52,0.51,46.7,4.1,11.07,20.43,0.0,1.3858398322659455e-10,2.4333804335290692e-11,2.104837536804774e-11
NGC6789,3.52,0.71,60.4,9.4,11.87,21.37,0.0,1.6651945595182193e-10,5.183055913732206e-11,1.6853665848038616e-11
NGC6946,5.52,0.19,153.0,8.0,0.96,24.4,233.17,3.992810651926481e-09,4.1754882634525294e-10,6.542344653053075e-09
NGC6946,5.52,0.56,130.0,9.0,2.86,62.52,168.53,9.780208927073172e-10,1.354182774517824e-10,1.2641474113119772e-09
