T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
408.0,328.37633215354583,332.9365021296374,0.5,22.24776,janaf_interp,97.94026666666667,0.17674276627917576,4.560169976091591,9.120339952183182
409.0,328.8200016379625,333.267056157958,0.5,22.26098,janaf_interp,97.93280000000003,0.17679969916931226,4.447054519995477,8.894109039990955
410.0,329.26128021938166,333.5960969127391,0.5,22.2742,janaf_interp,97.92533333333334,0.1768557354938135,4.33481669335744,8.66963338671488
411.0,329.70018540886053,333.92364716241764,0.5,22.28742,janaf_interp,97.91786666666668,0.17691088909409536,4.223461753557119,8.446923507114239
412.0,330.1367345622466,334.24972935730744,0.5,22.30064,janaf_interp,97.91040000000002,0.17696517360664837,4.112994795060836,8.225989590121673
413.0,330.5709448816926,334.57436563353923,0.5,22.31386,janaf_interp,97.90293333333334,0.1770186024657933,4.0034207518466465,8.006841503693293
414.0,331.00283341715766,334.8975778169672,0.5,22.32708,janaf_interp,97.89546666666669,0.17707118890640888,3.8947443998095346,7.789488799619069
415.0,331.4324170678942,335.219387427043,0.5,22.3403,janaf_interp,97.88800000000002,0.17712294596663114,3.7869703591487753,7.573940718297551
416.0,331.8597125839213,335.5398156806566,0.5,22.35352,janaf_interp,97.88053333333335,0.17717388649052515,3.680103096735307,7.360206193470614
417.0,332.28473656748395,335.85888349594353,0.5,22.36674,janaf_interp,97.87306666666667,0.17722402313072821,3.5741469284595775,7.148293856919155
418.0,332.70750547449876,336.17661149605834,0.5,22.37996,janaf_interp,97.86560000000001,0.17727336835106539,3.4691060215595755,6.938212043119151
419.0,333.1280356159856,336.4930200129146,0.5,22.39318,janaf_interp,97.85813333333333,0.1773219344291368,3.3649843969289925,6.729968793857985
420.0,333.54634315948607,336.8081290908899,0.5,22.4064,janaf_interp,97.85066666666668,0.17736973345887697,3.261785931403831,6.523571862807662
421.0,333.96244413046793,337.12195849049806,0.5,22.41962,janaf_interp,97.84320000000001,0.17741677735308622,3.1595143600301676,6.319028720060335
422.0,334.3763544137167,337.4345276920258,0.5,22.43284,janaf_interp,97.83573333333334,0.17746307784593424,3.058173278309168,6.116346556618336
423.0,334.788089754713,337.74585589913545,0.5,22.44606,janaf_interp,97.82826666666669,0.1775086464954357,2.957766144422459,5.915532288844918
424.0,335.1976657609973,338.05596204243284,0.5,22.45928,janaf_interp,97.82080000000003,0.17755349468589823,2.8582962814355533,5.7165925628711065
425.0,335.60509790352125,338.3648647830016,0.5,22.4725,janaf_interp,97.81333333333336,0.17759763363034267,2.759766879480359,5.519533758960718
426.0,336.01040151798554,338.6725825159009,0.5,22.48572,janaf_interp,97.80586666666669,0.17764107437289578,2.6621809979153257,5.324361995830651
427.0,336.41359180616485,338.97913337363036,0.5,22.49894,janaf_interp,97.79840000000002,0.17768382779115555,2.5655415674655146,5.131083134931029
428.0,336.8146838372204,339.2845352295596,0.5,22.51216,janaf_interp,97.79093333333336,0.17772590459852905,2.4698513923392076,4.939702784678415
429.0,337.21369254899867,339.5888057013226,0.5,22.525380000000002,janaf_interp,97.78346666666667,0.1777673153465431,2.3751131523239315,4.750226304647863
430.0,337.6106327493177,339.89196215417735,0.5,22.5386,janaf_interp,97.77600000000001,0.17780807042712782,2.2813294048596573,4.562658809719315
431.0,338.0055191172411,340.19402170433256,0.5,22.55182,janaf_interp,97.76853333333335,0.17784818007487335,2.1885025870914987,4.377005174182997
432.0,338.3983662043388,340.49500122223697,0.5,22.56504,janaf_interp,97.76106666666668,0.17788765436925946,2.0966350178981874,4.193270035796375
433.0,338.78918843593556,340.79491733583586,0.5,22.57826,janaf_interp,97.75360000000002,0.17792650323685877,2.0057288999003036,4.011457799800607
434.0,339.1780001123474,341.0937864337932,0.5,22.59148,janaf_interp,97.74613333333335,0.17796473645351327,1.9157863214458046,3.8315726428916093
435.0,339.5648154101045,341.3916246686779,0.5,22.6047,janaf_interp,97.73866666666667,0.1780023636464845,1.8268092585734061,3.6536185171468123
436.0,339.9496483831636,341.68844796011734,0.5,22.61792,janaf_interp,97.73120000000002,0.1780393942965776,1.7387995769537272,3.4775991539074544
437.0,340.3325129641071,341.9842719979156,0.5,22.631140000000002,janaf_interp,97.72373333333334,0.17807583774023927,1.651759033808498,3.303518067616996
438.0,340.7134229653298,342.2791122451377,0.5,22.64436,janaf_interp,97.7162666666667,0.1781117031716298,1.5656892798078703,3.1313785596157406
439.0,341.0923920802151,342.57298394116043,0.5,22.65758,janaf_interp,97.70880000000001,0.1781469996446696,1.4805918609452833,2.9611837218905666
440.0,341.46943388429753,342.86590210468813,0.5,22.6708,janaf_interp,97.70133333333335,0.17818173607505994,1.396468220390602,2.792936440781204
441.0,341.8445618364156,343.157881536736,0.5,22.68402,janaf_interp,97.6938666666667,0.1782159212422788,1.3133197003203865,2.626639400640773
442.0,342.2177892798508,343.4489368235788,0.5,22.69724,janaf_interp,97.68640000000002,0.17824956379155107,1.231147543727958,2.462295087455916
443.0,342.58912944345695,343.7390823396667,0.5,22.71046,janaf_interp,97.67893333333335,0.17828267223579436,1.1499528962097925,2.299905792419585
444.0,342.95859544277664,344.028332250508,0.5,22.72368,janaf_interp,97.67146666666669,0.1783152549575396,1.069736807731414,2.139473615462828
445.0,343.3262002811471,344.3167005155174,0.5,22.736900000000002,janaf_interp,97.66400000000002,0.1783473202108274,0.990500234370293,1.981000468740586
446.0,343.691956850795,344.6042008908334,0.5,22.750120000000003,janaf_interp,97.65653333333334,0.17837887612307995,0.9122440400383715,1.824488080076743
447.0,344.05587793391913,344.89084693210094,0.5,22.76334,janaf_interp,97.64906666666668,0.17840993069694888,0.8349689981817623,1.6699379963635246
448.0,344.4179762037628,345.1766519972236,0.5,22.77656,janaf_interp,97.6416,0.1784404918121391,0.7586757934607543,1.5173515869215086
449.0,344.7782642256753,345.4616292490807,0.5,22.78978,janaf_interp,97.63413333333335,0.17847056722720897,0.6833650234054653,1.3667300468109307
450.0,345.1367544581618,345.74579165821564,0.5,22.803,janaf_interp,97.62666666666667,0.1785001645813469,0.6090372000537915,1.218074400107583
451.0,345.4934592539236,345.98850731818357,0.5,22.81354,janaf_interp,97.61920000000002,0.17852929139612478,0.49504806425993175,0.9900961285198635
452.0,345.8483908608862,346.23041423960575,0.5,22.824080000000002,janaf_interp,97.61173333333336,0.1785579550772283,0.38202337871958814,0.7640467574391763
453.0,346.2015614232179,346.4715251387766,0.5,22.83462,janaf_interp,97.60426666666667,0.17858616291616422,0.2699637155586662,0.5399274311173324
454.0,346.55298298233845,346.7118525436372,0.5,22.84516,janaf_interp,97.59680000000002,0.17861392209194538,0.15886956129874544,0.3177391225974909
455.0,346.9026674779152,346.95140879642827,0.5,22.8557,janaf_interp,97.58933333333334,0.17864123967275275,0.0487413185130286,0.0974826370260572
456.0,347.25062674885123,347.1902060563094,0.5,22.86624,janaf_interp,97.58186666666668,0.17866812261757578,-0.060420692541806716,-0.12084138508361343
457.0,347.5968725342621,347.4282563019467,0.5,22.87678,janaf_interp,97.57440000000003,0.1786945777778305,-0.16861623231539863,-0.33723246463079726
458.0,347.94141647444263,347.6655713340667,0.5,22.88732,janaf_interp,97.56693333333334,0.17872061189895577,-0.2758451403759376,-0.5516902807518752
459.0,348.284270111824,347.90216277797856,0.5,22.89786,janaf_interp,97.5594666666667,0.1787462316219882,-0.38210733384544254,-0.7642146676908851
460.0,348.6254448919208,348.1380420860651,0.5,22.9084,janaf_interp,97.55200000000002,0.17877144348511564,-0.48740280585561985,-0.9748056117112397
461.0,348.96495216426797,348.3732205402411,0.5,22.91894,janaf_interp,97.54453333333335,0.17879625392520937,-0.5917316240268884,-1.1834632480537768
462.0,349.30280318334866,348.60770925438055,0.5,22.92948,janaf_interp,97.53706666666668,0.17882066927933582,-0.695093928968115,-1.39018785793623
463.0,349.639009109512,348.8415191767133,0.5,22.94002,janaf_interp,97.52960000000002,0.1788446957862472,-0.7974899327987537,-1.5949798655975074
464.0,349.9735810098815,349.07466109219047,0.5,22.95056,janaf_interp,97.52213333333334,0.1788683395878519,-0.8989199176910172,-1.7978398353820344
465.0,350.3065298592541,349.3071456248195,0.5,22.961100000000002,janaf_interp,97.51466666666667,0.1788916067306646,-0.9993842344346222,-1.9987684688692444
466.0,350.6378665409895,349.53898323996845,0.5,22.97164,janaf_interp,97.50720000000001,0.17891450316723645,-1.0988833010210157,-2.1977666020420314
467.0,350.96760184789105,349.7701842466419,0.5,22.98218,janaf_interp,97.49973333333332,0.1789370347575653,-1.197417601249117,-2.394835202498234
468.0,351.2957464830768,350.00075879972496,0.5,22.99272,janaf_interp,97.49226666666668,0.17895920727048661,-1.294987683351853,-2.589975366703706
469.0,351.62231106084147,350.2307169022005,0.5,23.00326,janaf_interp,97.4848,0.17898102638504462,-1.3915941586409486,-2.783188317281897
470.0,351.9473061075099,350.46006840733423,0.5,23.0138,janaf_interp,97.47733333333336,0.17900249769184487,-1.4872377001756871,-2.9744754003513743
471.0,352.2707420622818,350.6888230208346,0.5,23.02434,janaf_interp,97.46986666666669,0.17902362669438746,-1.5819190414471715,-3.163838082894343
472.0,352.5926292780664,350.9169903029812,0.5,23.03488,janaf_interp,97.46240000000002,0.1790444188103817,-1.6756389750852014,-3.351277950170403
