Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
86,126,212,Rn,107,145,39,19,19,interior,7.975222400000121,-0.07149911149968347,1.4058004964944004,-8.046721511499804,-6.56942190350572,8.046721511499804,6.56942190350572
86,127,213,Rn,107,145,39,20,18,interior,5.108035599999994,-4.1818085893263515,-4.848234491693248,-9.289844189326345,-9.956270091693241,9.289844189326345,9.956270091693241
86,128,214,Rn,107,145,39,21,17,interior,6.6950409999999465,-0.19005465937107857,-0.5652572433833214,-6.885095659371025,-7.260298243383268,6.885095659371025,7.260298243383268
86,129,215,Rn,107,145,39,22,16,interior,4.920633799999905,-0.18923584796526427,0.17880346397771518,-5.109869647965169,-4.74183033602219,5.109869647965169,4.74183033602219
86,130,216,Rn,107,145,39,23,15,interior,6.649018800000249,-0.18842040682762473,-0.5579740190770011,-6.837439206827874,-7.20699281907725,6.837439206827874,7.20699281907725
86,131,217,Rn,107,145,39,24,14,interior,4.666058099999873,-0.18760834820433558,0.2071603225594174,-4.8536664482042085,-4.4588977774404555,4.8536664482042085,4.4588977774404555
86,132,218,Rn,107,145,39,25,13,interior,6.51248570000007,3.2112778451665562,2.845656058197541,-3.301207854833514,-3.6668296418025292,3.301207854833514,3.6668296418025292
86,133,219,Rn,107,145,39,26,12,interior,4.459381000000121,-0.3076075198786512,0.11273643400710398,-4.7669885198787725,-4.346644565993017,4.7669885198787725,4.346644565993017
86,134,220,Rn,107,145,39,27,11,interior,6.288674399999763,-0.1747160466498272,-0.4632879981623077,-6.463390446649591,-6.751962398162071,6.463390446649591,6.751962398162071
86,135,221,Rn,107,145,39,28,10,interior,4.21195210000019,-0.28110146918186274,0.20427069425940658,-4.493053569182052,-4.007681405740783,4.493053569182052,4.007681405740783
86,136,222,Rn,107,145,39,29,9,interior,6.170704099999966,-0.16521347443200085,-0.5954345376023014,-6.335917574431967,-6.766138637602268,6.335917574431967,6.766138637602268
86,137,223,Rn,107,145,39,30,8,interior,4.053555799999913,-3.3914268945998955,-3.058137072873528,-7.444982694599808,-7.111692872873441,7.444982694599808,7.111692872873441
86,138,224,Rn,107,145,39,31,7,interior,6.0159576000000925,-0.18201946109785183,-0.5207287525871678,-6.197977061097944,-6.53668635258726,6.197977061097944,6.53668635258726
86,139,225,Rn,107,145,39,32,6,interior,3.9822589000000335,-0.18123478249952285,-0.12265403703414535,-4.163493682499556,-4.104912937034179,4.163493682499556,4.104912937034179
86,140,226,Rn,107,145,39,33,5,interior,5.858268299999963,-0.18045355271835462,-0.4550095408150412,-6.038721852718318,-6.3132778408150045,6.038721852718318,6.3132778408150045
86,141,227,Rn,107,145,39,34,4,interior,3.932690800000046,-0.179675774858282,-0.01453567716477977,-4.112366574858328,-3.9472264771648256,4.112366574858328,3.9472264771648256
86,142,228,Rn,107,145,39,35,3,interior,5.71368799999982,-0.17890145128164647,-0.6537833813099994,-5.8925894512814665,-6.367471381309819,5.8925894512814665,6.367471381309819
86,143,229,Rn,107,145,39,36,2,neutron_rich_edge,3.952378700000054,-0.17813058363638135,-0.5092304001772021,-4.130509283636435,-4.461609100177256,4.130509283636435,4.461609100177256
86,144,230,Rn,107,145,39,37,1,neutron_rich_edge,5.1624016999999185,-0.17736317288250092,0.06817506040006549,-5.339764872882419,-5.094226639599853,5.339764872882419,5.094226639599853
86,145,231,Rn,107,145,39,38,0,neutron_rich_edge,3.8990000000001146,-0.17659921931728917,1.0477651679740418,-4.075599219317404,-2.8512348320260728,4.075599219317404,2.8512348320260728
87,111,198,Fr,110,146,37,1,35,proton_rich_edge,8.747577399999955,-0.2035991711225691,1.3704868154072116,-8.951176571122524,-7.377090584592743,8.951176571122524,7.377090584592743
87,112,199,Fr,110,146,37,2,34,proton_rich_edge,10.877634700000044,-0.2027291486101177,-0.1743095319985386,-11.080363848610162,-11.051944231998583,11.080363848610162,11.051944231998583
