T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
517.0,365.6271549920904,364.1921857541425,0.5,-1.4349692379479508,-2.8699384758959017,8.176329160135765,3.889041933505819,10.890156969617095,-113.14939281871801,61.07435513206308,416.2672234407974
518.0,365.8876592026501,364.42101327619434,0.5,-1.4666459264557643,-2.9332918529115286,8.17686955269426,3.890060042073254,10.895920789327256,-113.15687112452981,61.09034372906811,416.48754067165606
519.0,366.14701749586345,364.64865253840475,0.5,-1.498364957458707,-2.996729914917414,8.177406847684487,3.8910725519710962,10.901654701173696,-113.16430656416514,61.10624440335573,416.70671469921416
520.0,366.4052369139736,364.87511141666704,0.5,-1.5301254973066136,-3.0602509946132272,8.17794106853119,3.8920795033219973,10.907358903197734,-113.17169946179092,61.12205778502071,416.92475309343723
521.0,366.6623244448105,365.1003977247705,0.5,-1.5619267200399967,-3.1238534400799933,8.178472238439445,3.8930809358968803,10.913033591880948,-113.17905013853418,61.13778449863423,417.1416633646705
522.0,366.91828702228696,365.3245192149477,0.5,-1.593767807339267,-3.187535614678534,8.179000380397124,3.8940768891185837,10.918678962158861,-113.18635891251613,61.15342516330107,417.3574529641628
523.0,367.1731315268902,365.5474835784234,0.5,-1.625647948466754,-3.251295896933508,8.179525517177305,3.8950674020654352,10.924295207434726,-113.19362609888552,61.168980392715724,417.5721292845932
524.0,367.42686478616747,365.7692984459535,0.5,-1.6575663402139795,-3.315132680427959,8.180047671340638,3.8960525134747748,10.92988251959303,-113.2008520098514,61.184450795217764,417.7856996605871
525.0,367.6794935752079,365.98997138836273,0.5,-1.6895221868452002,-3.3790443736904003,8.180566865237756,3.897032261746435,10.935441089012999,-113.20803695471646,61.199836973846466,417.9981713692327
526.0,367.93102461711817,366.20950991707383,0.5,-1.7215147000443438,-3.4430294000886876,8.181083121011575,3.898006684946211,10.940971104581852,-113.21518123990884,61.215139526395284,418.2095516305874
527.0,368.18146458349435,366.42792148463565,0.5,-1.7535430988586793,-3.5070861977173586,8.181596460599588,3.8989758208092615,10.946472753708052,-113.22228516901393,61.23035904546532,418.4198476081842
528.0,368.4308200948883,366.64521348524,0.5,-1.7856066096483352,-3.5712132192966703,8.182106905736157,3.899939706743468,10.951946222334277,-113.22934904280606,61.24549611851803,418.62906640952804
529.0,368.6790977212695,366.86139325524215,0.5,-1.8177044660273873,-3.6354089320547747,8.182614477954749,3.900898379832782,10.957391694950466,-113.23637315927941,61.2605513279278,418.83721508659374
530.0,368.92630398248224,367.07646807366854,0.5,-1.8498359088136733,-3.6996718176273466,8.183119198590115,3.9018518768405106,10.962809354606549,-113.24335781367824,61.275525251033564,419.0443006363132
531.0,369.172445348698,367.29044516272535,0.5,-1.8820001859726327,-3.7640003719452655,8.18362108878054,3.9028002342125525,10.968199382925228,-113.25030329852801,61.29041846018957,419.25033000106373
532.0,369.41752824086336,367.50333168829775,0.5,-1.9141965525656397,-3.8283931051312794,8.184120169469928,3.9037434880806536,10.973561960114463,-113.2572099036641,61.305231522816584,419.45531006914524
533.0,369.66155903114344,367.7151347604474,0.5,-1.9464242706960033,-3.8928485413920066,8.184616461409997,3.9046816742655586,10.978897264979986,-113.2640779162624,61.31996500145131,419.65924767525854
534.0,369.9045440433604,367.9258614339077,0.5,-1.9786826094526833,-3.9573652189053665,8.185109985162335,3.9056148282801444,10.984205474937706,-113.27090762086759,61.33461945379565,419.86214960097965
535.0,370.1464895534279,368.1355187085632,0.5,-2.0109708448646764,-4.021941689729353,8.18560076110048,3.906542985332559,10.989486766025728,-113.27769929942205,61.34919543276598,420.06402257521927
536.0,370.38740178978134,368.34411352994204,0.5,-2.0432882598392674,-4.086576519678535,8.186088809411999,3.907466180329267,10.994741312916725,-113.28445323129453,61.36369348654095,420.2648732746956
537.0,370.62728693380285,368.55165278968724,0.5,-2.075634144115614,-4.151268288231228,8.186574150100487,3.908384447878095,10.999969288929748,-113.29116969330788,61.37811415860936,420.46470832438575
538.0,370.86615112024293,368.75814332603335,0.5,-2.10800779420956,-4.21601558841912,8.18705680298755,3.909297822291228,11.005170866042185,-113.29784895976645,61.392457987817174,420.66353429798266
539.0,371.1040004376374,368.963591924274,0.5,-2.140408513363407,-4.280817026726814,8.187536787714846,3.91020633758818,11.010346214901496,-113.30449130248432,61.40672550841419,420.86135771834415
540.0,371.34084092872024,369.16800531722885,0.5,-2.1728356114913665,-4.345671222982733,8.188014123745933,3.9111100274987263,11.015495504836915,-113.31109699081098,61.42091725010009,421.05818505793974
541.0,371.5766785908319,369.371390185702,0.5,-2.20528840512988,-4.41057681025976,8.188488830368273,3.9120089254658,11.02061890387096,-113.31766629165892,61.43503373806994,421.254022739291
